Date,"1 Mo","2 Mo","3 Mo","6 Mo","1 Yr","2 Yr","3 Yr","5 Yr","7 Yr","10 Yr","20 Yr","30 Yr"
07/08/2022,1.57,1.92,1.98,2.68,2.96,3.12,3.14,3.13,3.16,3.09,3.53,3.27
07/07/2022,1.55,1.90,1.95,2.64,2.87,3.03,3.05,3.05,3.07,3.01,3.45,3.20
07/06/2022,1.36,1.70,1.90,2.62,2.82,2.97,2.99,2.96,2.99,2.93,3.42,3.14
07/05/2022,1.33,1.71,1.90,2.59,2.77,2.82,2.82,2.82,2.87,2.82,3.31,3.05
07/01/2022,1.27,1.68,1.73,2.52,2.79,2.84,2.85,2.88,2.92,2.88,3.35,3.11
06/30/2022,1.28,1.68,1.72,2.51,2.80,2.92,2.99,3.01,3.04,2.98,3.38,3.14
06/29/2022,1.12,1.53,1.78,2.55,2.88,3.06,3.13,3.15,3.17,3.10,3.46,3.22
06/28/2022,1.12,1.59,1.79,2.55,2.88,3.10,3.21,3.25,3.27,3.20,3.55,3.30
06/27/2022,1.16,1.57,1.79,2.56,2.89,3.08,3.21,3.24,3.27,3.20,3.56,3.31
06/24/2022,1.19,1.60,1.73,2.51,2.83,3.04,3.13,3.18,3.19,3.13,3.51,3.26
06/23/2022,1.12,1.54,1.65,2.44,2.78,3.01,3.12,3.14,3.16,3.09,3.45,3.21
06/22/2022,0.98,1.42,1.61,2.40,2.79,3.06,3.20,3.22,3.24,3.16,3.49,3.25
06/21/2022,1.08,1.48,1.70,2.46,2.92,3.21,3.35,3.38,3.39,3.31,3.63,3.39
06/17/2022,1.15,1.50,1.63,2.25,2.86,3.17,3.35,3.34,3.34,3.25,3.55,3.30
06/16/2022,1.19,1.47,1.59,2.24,2.88,3.14,3.33,3.35,3.36,3.28,3.59,3.35
06/15/2022,1.21,1.56,1.74,2.32,2.93,3.20,3.35,3.38,3.39,3.33,3.64,3.39
06/14/2022,1.19,1.55,1.83,2.43,3.15,3.45,3.60,3.61,3.60,3.49,3.72,3.45
06/13/2022,1.13,1.45,1.73,2.25,2.89,3.40,3.56,3.56,3.53,3.43,3.68,3.42
06/10/2022,1.10,1.25,1.39,1.98,2.58,3.06,3.21,3.25,3.24,3.15,3.45,3.20
06/09/2022,1.05,1.17,1.30,1.81,2.35,2.83,2.99,3.07,3.08,3.04,3.40,3.18
06/08/2022,0.89,1.10,1.28,1.77,2.29,2.78,2.94,3.03,3.06,3.03,3.40,3.18
06/07/2022,0.87,1.08,1.26,1.75,2.26,2.75,2.91,2.99,3.02,2.98,3.35,3.13
06/06/2022,0.88,1.07,1.26,1.74,2.23,2.73,2.94,3.03,3.07,3.04,3.41,3.19
06/03/2022,0.87,1.05,1.21,1.68,2.18,2.66,2.87,2.95,2.99,2.96,3.33,3.11
06/02/2022,0.85,1.05,1.17,1.64,2.15,2.65,2.83,2.92,2.95,2.92,3.30,3.09
06/01/2022,0.77,0.90,1.15,1.63,2.16,2.66,2.84,2.94,2.98,2.94,3.31,3.09
05/31/2022,0.73,0.89,1.16,1.64,2.08,2.53,2.71,2.81,2.87,2.85,3.28,3.07
05/27/2022,0.69,0.91,1.08,1.54,2.01,2.47,2.64,2.71,2.76,2.74,3.16,2.97
05/26/2022,0.71,0.90,1.07,1.52,1.99,2.46,2.63,2.70,2.75,2.75,3.18,2.99
05/25/2022,0.58,0.88,1.06,1.52,2.01,2.48,2.63,2.71,2.76,2.75,3.14,2.97
05/24/2022,0.55,0.88,1.06,1.53,2.02,2.50,2.66,2.76,2.80,2.76,3.16,2.98
05/23/2022,0.55,0.90,1.07,1.57,2.09,2.65,2.80,2.88,2.90,2.86,3.26,3.08
05/20/2022,0.63,0.87,1.03,1.51,2.07,2.60,2.73,2.80,2.82,2.78,3.17,2.99
05/19/2022,0.65,0.91,1.05,1.52,2.11,2.63,2.78,2.84,2.87,2.84,3.24,3.05
05/18/2022,0.56,0.85,1.03,1.56,2.16,2.68,2.84,2.89,2.91,2.89,3.24,3.07
05/17/2022,0.61,0.85,1.06,1.57,2.16,2.71,2.89,2.96,3.00,2.98,3.36,3.17
05/16/2022,0.64,0.85,1.07,1.54,2.07,2.58,2.75,2.83,2.89,2.88,3.30,3.09
05/13/2022,0.67,0.79,1.03,1.47,2.04,2.61,2.79,2.89,2.95,2.93,3.32,3.10
05/12/2022,0.61,0.77,0.96,1.44,1.96,2.56,2.73,2.81,2.86,2.84,3.22,3.00
05/11/2022,0.59,0.77,0.91,1.43,1.99,2.66,2.81,2.89,2.94,2.91,3.25,3.05
05/10/2022,0.57,0.75,0.89,1.44,2.01,2.62,2.81,2.91,2.99,2.99,3.31,3.12
05/09/2022,0.51,0.73,0.92,1.43,1.99,2.61,2.81,2.95,3.04,3.05,3.38,3.19
05/06/2022,0.48,0.72,0.85,1.41,2.08,2.72,2.94,3.06,3.13,3.12,3.43,3.23
05/05/2022,0.49,0.71,0.85,1.37,2.08,2.71,2.91,3.01,3.07,3.05,3.35,3.15
05/04/2022,0.49,0.74,0.89,1.44,2.07,2.66,2.85,2.93,2.97,2.93,3.21,3.01
05/03/2022,0.48,0.77,0.91,1.45,2.16,2.78,2.95,3.01,3.03,2.97,3.21,3.03
05/02/2022,0.41,0.71,0.90,1.49,2.10,2.73,2.93,3.01,3.04,2.99,3.26,3.07
04/29/2022,0.37,0.73,0.85,1.41,2.10,2.70,2.87,2.92,2.94,2.89,3.14,2.96
04/28/2022,0.37,0.71,0.82,1.38,2.04,2.63,2.80,2.86,2.88,2.85,3.10,2.92
04/27/2022,0.37,0.63,0.82,1.39,1.97,2.58,2.75,2.81,2.84,2.82,3.08,2.91
04/26/2022,0.38,0.61,0.83,1.40,1.99,2.54,2.72,2.79,2.80,2.77,3.03,2.86
04/25/2022,0.40,0.61,0.91,1.42,2.03,2.63,2.79,2.84,2.85,2.81,3.06,2.88
04/22/2022,0.46,0.64,0.83,1.34,2.06,2.72,2.88,2.94,2.95,2.90,3.14,2.95
04/21/2022,0.50,0.65,0.83,1.32,2.01,2.68,2.87,2.96,2.96,2.90,3.12,2.94
04/20/2022,0.35,0.56,0.82,1.29,1.93,2.60,2.79,2.87,2.88,2.85,3.08,2.90
04/19/2022,0.37,0.58,0.81,1.28,1.94,2.61,2.81,2.91,2.95,2.93,3.19,3.01
04/18/2022,0.38,0.60,0.81,1.27,1.84,2.46,2.68,2.79,2.85,2.85,3.12,2.95
04/14/2022,0.37,0.57,0.79,1.25,1.84,2.47,2.67,2.79,2.84,2.83,3.09,2.92
04/13/2022,0.26,0.52,0.75,1.20,1.78,2.37,2.57,2.66,2.71,2.70,2.97,2.81
04/12/2022,0.21,0.52,0.74,1.20,1.77,2.39,2.58,2.66,2.73,2.72,2.99,2.82
04/11/2022,0.22,0.54,0.77,1.23,1.85,2.50,2.73,2.79,2.84,2.79,3.02,2.84
04/08/2022,0.20,0.49,0.70,1.19,1.81,2.53,2.73,2.76,2.79,2.72,2.94,2.76
04/07/2022,0.21,0.50,0.68,1.15,1.78,2.47,2.66,2.70,2.73,2.66,2.87,2.69
04/06/2022,0.21,0.44,0.67,1.15,1.79,2.50,2.67,2.70,2.69,2.61,2.81,2.63
04/05/2022,0.18,0.42,0.65,1.13,1.77,2.51,2.69,2.69,2.65,2.54,2.74,2.57
04/04/2022,0.18,0.42,0.66,1.14,1.72,2.43,2.61,2.56,2.52,2.42,2.64,2.48
04/01/2022,0.15,0.37,0.53,1.09,1.72,2.44,2.61,2.55,2.50,2.39,2.60,2.44
03/31/2022,0.17,0.35,0.52,1.06,1.63,2.28,2.45,2.42,2.40,2.32,2.59,2.44
03/30/2022,0.16,0.33,0.55,1.04,1.64,2.31,2.49,2.44,2.43,2.35,2.63,2.48
03/29/2022,0.18,0.34,0.55,1.06,1.67,2.35,2.54,2.49,2.50,2.41,2.68,2.53
03/28/2022,0.19,0.36,0.59,1.08,1.69,2.35,2.55,2.54,2.55,2.46,2.72,2.57
03/25/2022,0.17,0.32,0.55,1.01,1.67,2.30,2.51,2.55,2.56,2.48,2.74,2.60
03/24/2022,0.16,0.31,0.52,0.96,1.55,2.13,2.35,2.37,2.39,2.34,2.63,2.51
03/23/2022,0.15,0.27,0.50,0.93,1.52,2.13,2.32,2.34,2.37,2.32,2.65,2.52
03/22/2022,0.20,0.30,0.51,0.96,1.59,2.18,2.38,2.39,2.42,2.38,2.71,2.60
03/21/2022,0.22,0.33,0.54,0.95,1.40,2.14,2.34,2.33,2.36,2.32,2.67,2.55
03/18/2022,0.19,0.28,0.42,0.83,1.29,1.97,2.15,2.14,2.17,2.14,2.53,2.42
03/17/2022,0.20,0.30,0.40,0.81,1.30,1.94,2.14,2.17,2.22,2.20,2.60,2.50
03/16/2022,0.24,0.30,0.44,0.86,1.35,1.95,2.14,2.18,2.22,2.19,2.56,2.46
03/15/2022,0.22,0.31,0.46,0.86,1.28,1.85,2.04,2.10,2.16,2.15,2.57,2.49
03/14/2022,0.23,0.32,0.45,0.86,1.28,1.87,2.04,2.10,2.16,2.14,2.56,2.47
03/11/2022,0.17,0.28,0.40,0.78,1.22,1.75,1.91,1.96,2.01,2.00,2.45,2.36
03/10/2022,0.19,0.28,0.39,0.75,1.19,1.72,1.88,1.92,1.98,1.98,2.45,2.38
03/09/2022,0.18,0.26,0.38,0.75,1.15,1.68,1.83,1.87,1.92,1.94,2.38,2.29
03/08/2022,0.16,0.24,0.36,0.72,1.12,1.63,1.78,1.80,1.85,1.86,2.34,2.24
03/07/2022,0.17,0.23,0.38,0.75,1.07,1.55,1.68,1.71,1.77,1.78,2.29,2.19
03/04/2022,0.15,0.21,0.34,0.69,1.05,1.50,1.62,1.65,1.70,1.74,2.23,2.16
03/03/2022,0.19,0.25,0.38,0.69,1.08,1.53,1.69,1.74,1.82,1.86,2.32,2.24
03/02/2022,0.13,0.24,0.34,0.68,1.06,1.50,1.67,1.74,1.83,1.86,2.32,2.24
03/01/2022,0.11,0.21,0.32,0.60,0.91,1.31,1.47,1.56,1.67,1.72,2.19,2.11
02/28/2022,0.06,0.20,0.35,0.69,1.01,1.44,1.62,1.71,1.81,1.83,2.25,2.17
02/25/2022,0.03,0.20,0.33,0.71,1.13,1.55,1.76,1.86,1.96,1.97,2.37,2.29
02/24/2022,0.05,0.18,0.32,0.65,1.08,1.54,1.73,1.84,1.94,1.96,2.36,2.28
02/23/2022,0.02,0.20,0.34,0.74,1.16,1.58,1.78,1.89,1.98,1.99,2.36,2.29
02/22/2022,0.03,0.20,0.37,0.73,1.17,1.56,1.74,1.85,1.93,1.94,2.31,2.24
02/18/2022,0.03,0.19,0.35,0.65,1.03,1.47,1.68,1.82,1.90,1.92,2.30,2.24
02/17/2022,0.06,0.23,0.36,0.65,1.05,1.49,1.70,1.85,1.94,1.97,2.35,2.31
02/16/2022,0.03,0.17,0.38,0.67,1.09,1.52,1.75,1.90,2.00,2.03,2.39,2.34
02/15/2022,0.02,0.19,0.40,0.72,1.11,1.58,1.80,1.94,2.03,2.05,2.42,2.37
02/14/2022,0.03,0.25,0.43,0.76,1.13,1.58,1.80,1.90,1.98,1.98,2.35,2.29
02/11/2022,0.03,0.22,0.36,0.71,1.07,1.50,1.71,1.84,1.92,1.92,2.30,2.24
02/10/2022,0.05,0.31,0.40,0.74,1.14,1.61,1.82,1.96,2.03,2.03,2.37,2.30
02/09/2022,0.04,0.15,0.26,0.57,0.91,1.36,1.61,1.82,1.92,1.94,2.31,2.25
02/08/2022,0.03,0.14,0.25,0.59,0.91,1.35,1.59,1.81,1.93,1.96,2.31,2.25
02/07/2022,0.03,0.14,0.27,0.58,0.88,1.30,1.54,1.76,1.88,1.92,2.28,2.22
02/04/2022,0.05,0.12,0.23,0.56,0.89,1.31,1.55,1.78,1.90,1.93,2.29,2.23
02/03/2022,0.03,0.15,0.20,0.48,0.78,1.19,1.42,1.66,1.78,1.82,2.20,2.14
02/02/2022,0.04,0.10,0.19,0.45,0.76,1.16,1.38,1.60,1.74,1.78,2.17,2.11
02/01/2022,0.04,0.10,0.19,0.48,0.78,1.18,1.39,1.63,1.76,1.81,2.19,2.12
01/31/2022,0.03,0.13,0.22,0.49,0.78,1.18,1.39,1.62,1.75,1.79,2.17,2.11
01/28/2022,0.04,0.10,0.19,0.43,0.75,1.15,1.38,1.61,1.74,1.78,2.14,2.07
01/27/2022,0.04,0.14,0.20,0.43,0.75,1.18,1.43,1.66,1.78,1.81,2.17,2.09
01/26/2022,0.06,0.11,0.19,0.40,0.70,1.13,1.39,1.66,1.81,1.85,2.22,2.16
01/25/2022,0.05,0.09,0.19,0.39,0.65,1.02,1.28,1.56,1.73,1.78,2.18,2.12
01/24/2022,0.05,0.09,0.19,0.39,0.58,0.99,1.25,1.53,1.69,1.75,2.15,2.10
01/21/2022,0.05,0.08,0.17,0.35,0.58,1.01,1.28,1.54,1.70,1.75,2.13,2.07
01/20/2022,0.05,0.09,0.17,0.36,0.60,1.08,1.34,1.62,1.77,1.83,2.19,2.14
01/19/2022,0.05,0.06,0.17,0.36,0.57,1.04,1.33,1.62,1.78,1.83,2.20,2.14
01/18/2022,0.05,0.06,0.16,0.37,0.58,1.06,1.35,1.65,1.82,1.87,2.24,2.18
01/14/2022,0.05,0.05,0.13,0.30,0.51,0.99,1.26,1.55,1.72,1.78,2.18,2.12
01/13/2022,0.05,0.05,0.12,0.28,0.47,0.91,1.18,1.47,1.64,1.70,2.10,2.05
01/12/2022,0.04,0.06,0.12,0.27,0.48,0.92,1.21,1.50,1.67,1.74,2.13,2.08
01/11/2022,0.04,0.05,0.11,0.28,0.46,0.90,1.22,1.51,1.69,1.75,2.13,2.08
01/10/2022,0.05,0.06,0.13,0.28,0.46,0.92,1.21,1.53,1.71,1.78,2.15,2.11
01/07/2022,0.05,0.05,0.10,0.24,0.43,0.87,1.17,1.50,1.69,1.76,2.15,2.11
01/06/2022,0.04,0.05,0.10,0.23,0.45,0.88,1.15,1.47,1.66,1.73,2.12,2.09
01/05/2022,0.05,0.06,0.09,0.22,0.41,0.83,1.10,1.43,1.62,1.71,2.12,2.09
01/04/2022,0.06,0.05,0.08,0.22,0.38,0.77,1.02,1.37,1.57,1.66,2.10,2.07
01/03/2022,0.05,0.06,0.08,0.22,0.40,0.78,1.04,1.37,1.55,1.63,2.05,2.01
